Identifiant client;Référence client;Dénomination;Adresse;Code postal;Ville;Pays;Liste d’e-mails;Téléphone;Siren;Numéro de TVA;Nombre de factures;Chiffre d’affaires (€);Mandat GoCardless
f9e98b17-908f-458d-849f-a5b800710749;385.0;SAS AMH 3 - ARAUCARIA HOTEL & SPA;72bis Descente des Périades;74400;Chamonix-Mont-Blanc;FR;contact@araucaria-hotel.com;04 79 09 20 20;820506400.0;;0;0,0;
71d20817-d12b-45f7-955b-b01234834d28;386.0;MY MAISON IN PARIS;4 Rue Quentin Bauchart;75008;Paris;FR;"""finance@mymaisoninparis.com, charlotte.milochevitch@mymaisoninparis.com, paulin.huguenot@mymaisoninparis.com""";06 03 48 42 05;827782111.0;;9;9981,94;MD0006A9K0RYSD
e44cbd80-a6ba-4660-81ca-dc0df6051748;387.0;HOTEL ARAWAK BEACH RESORT;41 Rue Pointe de la Verdure;97190;Le Gosier;FR;laurent.p@manioukani.com;;823663778.0;;8;3905,47;MD0010VV00ZN76
82906524-0f39-45ef-9182-30c2579d3410;390.0;SAS AMH2 - ROCKYPOP HOTEL;72bis Descente des Périades;74400;Chamonix-Mont-Blanc;FR;web.chamonix@rockypop.com;;;;0;0,0;
f0a843f1-d1b5-46d1-93f2-500e2de12e37;393.0;HOTEL SEVRES SAINT GERMAIN;22 Rue Saint-Placide;75006;Paris;FR;direction@hssg.fr;01 45 48 10 67;562097956.0;;8;4135,21;MD0007637628NG
9bd4e83f-8162-4bb9-9231-1b529d885810;394.0;HOTEL EUGENIE;Rue Saint-André des Arts;75006;Paris;FR;eugenie.hotel@wanadoo.fr;01 43 26 29 03;642007306.0;;10;5392,16;MD0027M4HA7MKX
ceb4bccf-538f-406b-86aa-f41e131dc033;395.0;HOTEL DU CHEMIN VERT;97 Rue du Chemin Vert;75011;Paris;FR;contact@hotelducheminvertparis.com;01 43 38 31 31;;;4;504,0;MD0027GNKCMPSZ
cb7e7e4e-e139-4f54-bee3-902b3f3f271a;396.0;ASSAS HOTEL;72bis Descente des Périades;74400;Chamonix-Mont-Blanc;FR;"""gb@assas-am.com, mkghotel@assas-am.com""";;752765537.0;;1;342,0;
92861c7d-b079-4c47-80e4-db4b1f498961;407.0;MAISON VAUBAN SAINT MALO;8 Rue Toullier;35400;Saint-Malo;FR;contact@lamaisonvauban.com;02 99 40 07 30;879029718.0;;2;720,0;MD000P25A5VPJG
0d0b7e72-8435-41ec-8ea6-c9271dcde28d;410.0;HOTEL FRANCE ALBION;1 Rue Notre-Dame de Lorette;75009;Paris;FR;"""francelabion@hotel-skipper.fr, fabienne@hotelsparis9.com""";01 45 26 00 81;443434279.0;FR35443434279;8;4650,45;MD0006EH037SZ9
72da872b-ec08-4631-b6b9-e05d10a9b465;411.0;HOTEL HELUSSI;22Bis Rue Marie-Éléonore de Bellefond;75009;Paris;FR;"""fabienne@hotelsparis9.com, helussi@hotel-skipper.fr""";01 82 83 20 20;784384356.0;FR10784384356;8;4354,48;MD0006EGZH4WD3
fa2fc59f-f2f6-46a9-83f9-3e218b15eacf;415.0;HOTEL ROYAL MADELEINE;29 Rue de l'Arcade;75008;Paris;FR;"""comptabilite@royalmadeleine.com, direction@royalmadeleine.com""";0184257000;572090769.0;FR06572090769;5;4651,7;MD00128HP55TDP
e5be2f5e-463c-4b73-9daf-34788f5bba42;416.0;VILLA FLORENTINE;25 Montée Saint-Barthélemy;69005;Lyon;FR;aganamet@arteloge.com;04 72 56 56 56;;;8;4507,18;MD0006XWDCG0JR
d2c06697-1cb3-4096-9761-3a54d3635b6d;417.0;HOTEL LYON METROPOLE;85 Quai Joseph Gillet;69004;Lyon;FR;aganamet@arteloge.com;;327388492.0;FR39327388492;8;5300,86;MD0006XWCEFGSD
d088dae2-1978-4b3a-b42a-e0620aaf639a;418.0;HOTEL PARKEST;7 Impasse Louis de Broglie;69740;Genas;FR;aganamet@arteloge.com;04 27 02 70 04;801828310.0;;8;2959,36;MD0006XWAGB5SV
3f483576-c105-4e47-8806-b2e75e8386e7;419.0;HOTEL PARKSAONE;26 Rue Félix Mangini;69009;Lyon;FR;aganamet@arteloge.com;04 72 22 00 00;810276717.0;;8;3484,73;MD0006XWFDX54G
0c4bca3b-6bf5-47a8-86d8-5bd9acf45f47;420.0;HOTEL LYON OUEST;50 Quai Paul Sédallian;69009;Lyon;FR;aganamet@arteloge.com;04 72 66 01 01;529862336.0;FR05529862336;8;2939,52;MD0006XWDRKHNF
ca6fc960-bfc9-4b1f-8783-c7aee318542f;421.0;HOTEL DES CONGRES;Place du Commandant Rivière;69100;Villeurbanne;FR;aganamet@arteloge.com;04 72 69 16 16;350162657.0;FR02350162657;8;3820,78;MD0006XWEJTTQD
95640920-2800-421b-aa53-8335cef9fae9;422.0;SPA LYON PLAGE;84 Quai Joseph Gillet;69004;Lyon;FR;aganamet@arteloge.com;04 72 10 44 34;955509328.0;;4;379,2;MD0006XWBAPP3W
c630b099-94f1-4ca0-9437-f0ffbad6a025;424.0;GRAND HOTEL SENIA;6 Rue du Bas Marin;94310;Orly;FR;"""s.najib@grandhotelsenia.com, h.louz@grandhotelsenia.com""";01 46 87 31 30;439286972.0;;1;164,7;MD0007E14S3020
4f532e44-a93d-427c-9b03-79f0d878af73;425.0;SAS AMH4 - HOTEL ST-ALBAN;72 Descente des Périades;74400;Chamonix-Mont-Blanc;FR;web@saint-alban.com;;822766184.0;;1;342,0;
ddb538d1-379c-491a-bf95-d32ce14183c3;426.0;PARIS APPARTEMENTS SERVICES;20 Rue Bachaumont;75002;Paris;FR;"""bp@paris-apts.com, alexandre@paris-apts.com""";01 40 28 01 28;392655858.0;;2;2232,0;
77137ed4-00c8-4f8a-9d4e-2479708445db;427.0;HOTEL ROYAL MANSART;1 Rue Mansart;75009;Paris;FR;sandrabessaa@yahoo.fr;01 48 74 63 30;400597449.0;;1;122,4;MD00086M5KE7J0
342f4952-8a58-4852-adab-50e05b538d3a;429.0;HOTEL DES DEUX AVENUES;38 Rue Poncelet;75017;Paris;FR;hotel-des-deux-avenues@wanadoo.fr;01 42 27 44 35;;;1;360,0;MD0007QCNP8NA9
1f2a1889-d179-439f-894f-2dc3546b4884;432.0;HOTEL ARC PARIS PORTE D'ORLEANS;11 Rue Gabriel Péri;92120;Montrouge;FR;direction@hotelarcparismontrouge.com;01 42 53 02 55;552145765.0;;4;648,0;MD0011NBW4FP7F
2a6dfd0f-40d0-4923-a0de-d149cecb58d9;435.0;RESIDENCE WILSON;1 Avenue Wilson;63240;Le Mont-Dore;FR;castelet.ad@orange.fr;04 73 65 05 29;;;4;523,2;MD0008DYZPQYD7
1d6ef83c-d7a0-48bc-a1d7-09f8f899429a;436.0;HOTEL LA DESIRADE;Le Petit Cosquet;56360;Bangor;FR;direction@hotel-la-desirade.com;+33297317070;480008135.0;;5;1628,1;MD000K6YQZAJHE
f841718e-ad9d-413a-b734-040b49473bee;437.0;CAFE DE PARIS;3 Rue de l'Échelle;75001;Paris;FR;lemedova@orange.fr;01 42 60 84 26;;;1;410,4;MD0010RT8FDFW2
55673078-0ebf-4d6a-848d-6779f26ec34f;438.0;HOTEL RELAIS DE POSTE;2 Rue Molière;13200;Arles;FR;"""pj@groupecible.com, comptafournisseurs@groupecible.com, ap@groupecible.com""";04 90 52 05 76;814210845.0;;1;396,0;MD000H1PHG9KC5
e925e5d5-7157-44bc-ad74-5742e07150d0;441.0;HOTEL COURSEINE;18 Avenue Marceau;92400;Courbevoie;FR;direction@courseine.com;01 43 33 57 04;434355038.0;;2;280,8;
358bb146-85f8-49b8-bf24-a72cc6397edf;447.0;SAS AMH - RESTAURANT AKASHON;50 Place de l'Aiguille du Midi;74400;Chamonix-Mont-Blanc;FR;mkghotel@assas-am.com;;434372819.0;;1;342,0;
e5b9278a-72bc-4290-b05e-4d4cee845aa5;448.0;HOTEL DU BEAUMONT;3 Rue Lepic;75018;Paris;FR;hotel@dubeaumont.com;01 77 62 85 55;326193596.0;;1;348,3;MD000D4K8V3EQB
a74a9489-5424-431e-b02a-c5b2b8cf636e;450.0;HOTEL LE LONCA;Route de la Marine;20150;Ôta;FR;hotel.lelonca@wanadoo.fr;;422656637.0;;3;828,0;MD000B25XHV6NR
e8b08ef7-6f72-4497-844d-2ac9b703bdc6;452.0;HOTEL BORONALI;65 Rue de Clignancourt;75018;Paris;FR;"""direction@hotel-boronali.com, maylis@che-im.com""";01 46 06 41 52;722050796.0;;1;140,4;MD002MRT7MFQNM
9ee5eaad-e71a-4d60-a7d7-a0e463e9269f;453.0;HBB SAS - HOTEL OHLALA !;32 Rue de Bagnolet;75020;Paris;FR;mkghotel@assas-am.com;;834944985.0;;1;342,0;
22ef27d5-b3d4-4771-a5e3-c072d87e672d;454.0;HOTEL L'HELIOPIC SWEET & SPA;50 Place de l'Aiguille du Midi;74400;Chamonix-Mont-Blanc;FR;mkghotel@assas-am.com;;;;0;0,0;
6ff1cb8f-0683-4f6d-9a1b-2e8c2193e864;456.0;HOTEL SAINT GERMAIN;88 Rue du Bac;75007;Paris;FR;manager@parishotelsg.com;01 49 54 70 00;434372819.0;;4;885,6;MD000R55H5XZZS
4cb734d6-c754-47f2-bc75-db8d49b12990;458.0;HOTEL DE L'OCEAN BIARRITZ;9 Place Sainte-Eugénie;64200;Biarritz;FR;"""direction.hotelocean@gmail.com, contact.hotelocean@gmail.com""";;840831150.0;;4;368,4;MD000P8BRJEBBK
1f689700-21ea-4b68-b9e0-075d91beb73e;460.0;RESTAURANT LE CAFE NOIR;16 Place Duclos;22100;Dinan;FR;lecafenoir22@gmail.com;;493197735.0;;1;252,0;
299764a3-eae1-4fa3-b877-d68a5fa29b22;461.0;HOTEL LE PTIT CHAM;Route du Sancy;63240;Le Mont-Dore;FR;contact@lepetitcham.com;04 73 65 22 33;818747032.0;;4;192,0;MD000D1T60HGF0
3b3380bf-4aa0-4f83-baa6-f228b1251c8b;463.0;GRAND HOTEL MONTABO;Chemin Hilaire;97300;Cayenne;FR;g.benjaka@grandhotelmontabo.fr;0594303888;325315281.0;;7;3045,16;MD000DY7SWRRCV
6983182e-d4cd-4a32-b740-ee464e2b1909;467.0;HOTEL EPI - SARL LEVANT;400 Avenue de l'Europe;28230;Épernon;FR;"""levent.akdogan@live.fr, contact@epi-hotel.com""";02 37 18 01 01;501244453.0;;5;460,2;MD000FG4DHSZGW
1c6c6c0a-5b35-4648-938d-87ab41e70c10;468.0;RESIDENCE LE PARC;2 Rue Jean Novel;69006;Lyon;FR;contact@residence-leparc.com;04 78 94 03 64;379907124.0;;1;474,0;MD000FG66XMVZB
87df3770-bfd1-470d-888d-6eb8ead2fbf6;470.0;HOTEL DE LA TOUR DE NESLE;2 Quai Louis Durand;17000;La Rochelle;FR;comptafournisseurs@groupecible.com;;849405550.0;;1;396,0;MD000P07WGC1Z4
13fcea22-d507-477d-905a-59a8a20b0278;472.0;HOTEL EDGAR ST BRIEUC (SAINT BRIEUC HOTEL);15 Rue Jouallan;22000;Saint-Brieuc;FR;compta@hotel-edgar.fr;+33296602727;501599278.0;FR83501599278;4;1573,2;
f183129f-2104-449e-9be0-3f34e15fb516;473.0;CHATEAU DE BOSSEY;2 Chemin Chenevière;1299;Bogis-Bossey;CH;geraldine.rambaud@wcc-coe.org;;;;1;300,0;
2e1f3bbe-b8d9-4a11-b771-9261bfe16dbf;476.0;MAISON BARBILLON (EX HOTEL INSTITUT GRENOBLE);10 Rue Barbillon;38000;Grenoble;FR;mkghotel@assas-am.com;;;;1;342,0;
b8d456e5-bf66-4999-b3c6-0933c3d1a380;477.0;HOTEL MARIELLE;327 Rue du Soleil;73440;Les Belleville;FR;mkghotel@assas-am.com;04 85 30 20 05;;;0;0,0;
5fa2bd0d-f145-40c3-8322-1d1a264115e8;480.0;HOTEL LE GALION;Impasse Fontaines Gicquel;22520;Binic-Étables-sur-Mer;FR;jpetiot@brithotel-binic.com;02 96 32 37 80;;;4;456,0;MD001AMDFD7P46
68c3666c-c451-4765-948f-d66f48fbc232;482.0;SASU RESTAURANT LE CANCAN;3 Rue de Douai;75009;Paris;FR;lecancanpigalle@gmail.com;06 18 89 54 04;;;2;288,0;MD000ZG2S435J0
9698c74a-6f6c-41f5-b4c2-e5fa461f43d7;483.0;TY TOMM - HOTEL LE CLOS FLEURI;Route de Sauzon, D30 & Impasse de Bellevue;56360;Le Palais;FR;"""leclosfleuri.belleile@gmail.com, reception@hotel-leclosfleuri.com""";02 97 31 45 45;;;7;2058,36;MD000YNGHSD9XK
5a718d42-0f54-4c06-81af-a825266b43fb;484.0;HOTEL SAN LUCIANU;Moriani Plage;20230;San-Nicolao, San-Giovanni-di-Moriani, Santa-Lucia-di-Moriani, Santa-Reparata-di-Moriani, San-Giuliano, Linguizzetta, Talasani, Poggio-Mezzana, Taglio-Isolaccio, Canale-di-Verde, Chiatra, Pietra-di-Verde, Pero-Casevecchie, Velone-Orneto;FR;"""objectifhotel@gmail.com, dlucchetti@wanadoo.fr""";0495587210;345004782.0;FR11345004782;3;2339,49;MD000RAVK9B2VP
2672537d-821f-473f-9836-6344e8ea9deb;;COTE SUN;30 Rue Jacob;97400;Saint-Denis;FR;"""comptabilite@cotesunhotels.com, mboullery@gmail.com""";+262 (0) 692 340 751;480583772.0;;1;97,65;MD0012F0TYE2MB
